"dep","geo","crime_severity_index","population","authorized_police_strength_per_100000","police_officers_per_100000","total_police_officers"
"2021A002559870","Squamish, British Columbia, Royal Canadian Mounted Police, municipal",80.1,22740,114.3,114.3,26
"2021A002559873","Powell River, British Columbia, Royal Canadian Mounted Police, municipal",120.92,14024,142.6,135.5,19
"2021A002559880","White Rock, British Columbia, Royal Canadian Mounted Police, municipal",83.77,21522,116.2,125.5,27
"2021A002559891","Campbell River, British Columbia, Royal Canadian Mounted Police, municipal",126.32,37134,121.2,123.9,46
"2021A002559895","Courtenay, British Columbia, Royal Canadian Mounted Police, municipal",145.06,28960,107,110.5,32
"2021A002559904","Nanaimo, British Columbia, Royal Canadian Mounted Police, municipal",129.7,102380,144.6,167.1,171
"2021A002559906","North Cowichan, British Columbia, Royal Canadian Mounted Police, municipal",90.9,32850,97.4,100.5,33
"2021A002559908","Port Alberni, British Columbia, Royal Canadian Mounted Police, municipal",175.96,19101,178,178,34
"2021A002559925","Sidney, British Columbia, Royal Canadian Mounted Police, municipal",48.07,12279,195.5,162.9,20
"2021A002559926","Comox, British Columbia, Royal Canadian Mounted Police, municipal",35.68,15211,72.3,59.2,9
"2021A002559927","Williams Lake, British Columbia, Royal Canadian Mounted Police, municipal",214.64,11505,217.3,199.9,23
"2021A002559928","Castlegar, British Columbia, Royal Canadian Mounted Police, municipal",114.7,8570,151.7,163.4,14
